;count
Alstom;110436
Deutsche Bahn;7935
Knorr Bremse;3918
Gruber;2176
Faiveley;2074
Stadtwerke Verkehrsgesellschaft;1737
Schenker;1641
Bochumer Verein Verkehrstechnik;1613
Kabel Technik Polska;1523
Si Bog Service & Cro;1461
Si Bog Wheelset Center;1097
4PL Centralstation;949
Db Cargo;814
Stemmann Technik;813
Siemens;793
Polmor;760
Lucchini;731
Asteelflash;702
Axtone;659
Fa Kaufmann & Co Kg;636
Annax;630
Geta;624
Gutehoffnungshütte Radsatz;595
Met Chem;582
BVG;556
Wiener Linien;538
S Bahn;515
Liebherr;490
ABB;479
Rudolf Pützer;464
Hitachi;463
Techno Composites Domine;455
Wabtec;443
AEG;415
Kuhne & Nagel;405
Schaltbau;397
Sbf Spezialleuchten;394
Photon Laser Manufacturing;387
GS Elektroanlagen;387
Pws;380
Voith;379
Linz Linien;376
Schunk;366
Verkehrsbetriebe Karlsruhe;354
Microelettrica Scientifica Spa;350
Flachglas Wernberg;348
Bachleitner Technology;338
Trelleborg Antivibration Solutions Germany Logistikzentrum Rhenus Ag&Cokg;333
Innsbrucker Verkehrsbetriebe Und Stubaitalbahn;332
Db 1800 0100;332
Trelleborg Antivibration Solutions;324
Bode;323
Dresdener Verkehrsbetriebe;319
Dellner;317
Gpv Sweden;315
Premium Solutions Group;308
RCS;307
Fa Ferrotechnik Maschinenbau;303
Hubner;301
Color Solution Srl;297
Hanning & Kahl;295
Hilgendorf + Co;292
KWM;290
Daher;284
KVB;283
Opakmet;278
Zollner;271
Kovis Doo;269
Enics Sweden;266
Bonatrans Group As;266
Isoflex  Marvin Info@Isoflexse;263
Welte Rohrbiegetechnik;263
Itt Holdings Czech Republic Sro;253
Franz Kiel;252
Westermo Network Technologies;248
Nowe;242
Ralf Schwarzer Verkehrstechnik Gmbhwerk 1;241
Rheinbahn;239
Gsp Sprachtechnologie;239
Mtm Power Messtechnik Mellenbach;236
Wiener Lokalbahn;234
CAF;226
Abellio;226
Power Innovation Stromversorgungstechnik;225
Televic Rail;219
Delquignies;219
Metawell;218
DMT;218
König;216
Ptc Rail Services;216
Delimon;214
Dortmunder Stadtwerke;213
Strabag Infrastructure & Safety Solutions;209
Gtb Bahntechnik;209
